Number,Description - Long,Lifecycle Phase,Rev,Overall Compliance,Subclass
R7028Y,"Sharps Container, Yellow, 2 Gallon",Active,6,,Part
R7028YHC,"Sharps Container, Translucent Yellow, 2 Gallon",Active,4,,Part
R7029N,HOLDER FOR 1 QUART CONTAINER,Active,0,,Part
R7032N,"Lid, Clear, 8 Gallon",Active,1,,Part
R7036,"Sharps Container, Red, 8 Gallon",Active,13,,Part
R7036BK,"Sharps Container, Black, 8 Gallon",Active,5,,Part
R7036GMW,"Sharps Container, Grey, 8 Gallon, 3% Red, In-house Regrind for Medical Waste",Discontinued,2,,Part
R7036GRMW,"8GAL.CONT, 3% MED WASTE GRN",Active,5,,Part
R7036GW,"Sharps Container, Red, 8 Gallon, Greenwood",Active,4,,Part
R7036MW,Changes per project R00000513: ?Added RM165 to the BOM,Discontinued,1,,Part
R7036P,"Sharps Container, Red, 8 Gallon",Active,8,,Part
R7036PY,"Sharps Container, Yellow, 8 Gallon",Active,7,,Part
R7036W,"Sharps Container, White, 8 Gallon",Active,6,,Part
R7036Y,"Sharps Container, Yellow, 8 Gallon",Active,7,,Part
R7038N,"Sharps Container, Natural, 1/2 Gallon",Active,1,,Part
R7038RHC,"Sharps Container, Transparent Red, 1/2 Gallon",Active,2,,Part
R7038YHC,"Sharps Container, Transparent Yellow, 1/2 Gallon",Discontinued,2,,Part
R7040,NATURAL 2 CAVITY INROOM LID,Active,1,,Part
R7040NU,"Inroon Lid With Unwinder, Clear",Discontinued,2,,Part
R7041,"Inroom Door, Red, 100% Regrind",Active,0,,Part
R7041BR,BROWN INROOM DOOR,Discontinued,2,,Part
R7042GW,"Sharps Container, 5 Quart, 3.0% Red, In-house Regrind for Medical Waste",Active,4,,Part
R7042MW,"Sharps Container, 5 Quart, Red, In-house, for Medical Waste",Discontinued,3,,Part
R7042N,"Sharps Container, Clear, 5 Quart",Active,4,,Part
R7042RHC,"Sharps Container, Transparent Red, 5 Quart",Active,4,,Part
R7042YHC,"Sharps Container, Transparent Yellow, 5 Quart",Active,5,,Part
R7043N,"Hinged Lid With Rotor, Natural",Active,1,,Part
R7044MW,"Deck, 3 Gallon, 3.5% Medical Waste",Discontinued,3,,Part
R7044N,"Deck, Clear, 3 Gallon",Active,1,,Part
R7044RG,DECK CLEAR 3 GAL 100% REGRIND,Discontinued,1,,Part
R7045MW,"Cowl and Door, 2 and 3 Gallon, 3.5% Medical Waste",Active,1,,Part
R7045N,"Notch Cowl and Door, Clear, 3 Gallon",Active,1,,Part
R7045RG,NTCH CWL-DOOR CLR 3GA 100%REGR,Discontinued,1,,Part
R7045U,Cowl and Door With Unwinder,Active,1,,Part
R7046E,"Sharps Container, 3 Gallon, Clarified Red, In-house Regrind",Discontinued,1,,Part
R7046GW,"Sharps Container, Red 3 Gallon",Active,3,,Part
R7046MW,"Changes per project R00000513: ?	Added RM165 to the BOM",Discontinued,2,,Part
R7046MWA,3 GAL CONT 4.5% MEDICAL WASTE,Discontinued,2,,Part
R7046N,"Sharps Container, Clear, 3 Gallon",Active,3,,Part
R7046OP,3 GALLON OPAQUE,Active,1,,Part
R7046RG,SHRPS CNT CLR 3GA 100% REGRIND,Discontinued,1,,Part
R7046RHC,"Sharps Container, Transparent Red, 3 Gallon",Active,4,,Part
R7046YHC,"Sharps Container, Transparent Yellow, 3 Gallon",Active,5,,Part
R7048,BEIGE RESHEATHING DEVICE,Discontinued,1,,Part
R7067,5 QUART LID ALWAYS OPEN,Active,1,,Part
R7067U,5 QT ALWAYS OPEN LID W/UNWINDE,Active,0,,Part
R7068,5QT DOOR & SCOOP ALWAYS OPEN,Active,0,,Part
R7068MW,5QT DOOR&SCOOP ALWAYS OPEN MW,Discontinued,1,,Part
R7070,1500 BLOODNEEDLE HOLDER T-BLUE,Discontinued,2,,Part
R7075BR,RED SNAP CAP,Active,1,,Part
R7075BY,YELLOW SNAP CAP,Active,1,,Part
R7076,PEDIATRIC BLOOD NEEDLE HOLDER,Discontinued,1,,Part
R7089BL,"2GAL BLUE HINGED LID, SNAP CAP",Active,3,,Part
R7089N,"Snap Cap Lid, Clear, 2 Gallon",Active,2,,Part
R7089W,WHITE 2 GAL HINGED LID SNAPCAP,Active,2,,Part
R7089W-1,"2 GAL. HINGED LID, WHT, NO CAP",Active,2,,Part
R7089WMA,WHITE 2 GAL MAIL AWAY LID,Discontinued,1,,Part
R7102,1 & 2 GAL SLIDE TOP GP LID,Active,1,,Part
R7103,"General Purpose Container, 1 Gallon, Red",Active,3,,Part
R7103BG,1 GA GENERAL PURPOSE CONT BEIG,Discontinued,1,,Part
R7103Y,1 GA GENERAL PURPOSE CONT YELL,Discontinued,1,,Part
R7407N,"Sharps Container, Transparent Red, 3 Gallon",Active,1,,Part
R7407RHC,"Sharps Container, Transparent Red, 2 Gallon",Active,2,,Part
R7407YHC,"Sharps Container, Transparent Yellow, 2 Gallon",Active,2,,Part
R7408,DISPOSABLE THREAD,Discontinued,1,,Part
R7409,HOLDER BODY,Discontinued,2,,Part
R7410*A,"SPRING BUTTON-AUTODROP ""B""MOLD",Discontinued,1,,Part
R7411*A,"COVER-AUTODROP ""B"" OUTMOLD",Discontinued,1,,Part
R7412,SNAP CAP/PLUG FOR 5010SA,Active,2,,Part
R7413,"Sharps Container, Red, 12 Gallon",Active,5,,Part
R7413BK,"Sharps Container, Black, 12 Gallon",Active,6,,Part
R7413GW,"Sharps Container, Red, 12 Gallon",Active,2,,Part
R7413P,"Sharps Container, Red, 12 Gallon",Active,6,,Part
R7413PY,"Sharps Container, Yellow, 12 Gallon",Active,7,,Part
R7413W,"Sharps Container, White, 12 Gallon",Active,4,,Part
R7413Y,"12GAL. CONTAINER, YELLOW",Active,4,,Part
R7414,"Lid With Sliding Top, 12/18 Gallon",Active,4,,Part
R7415,"Lid With Sliding Door, 12 Gallon",Active,2,,Part
R7416,"Lid With Sliding Rails, 12/18 Gallon",Active,4,,Part
R7416-1,"Lid With Sliding Rails, 8 Gallon",Active,5,,Part
R7417,LID CHEMOBASE 12/18 GAL(X1363),Active,5,,Part
R7417BL,12/18GAL CHEMO SLDTOP LID BLUE,Active,5,,Part
R7417P,12/18 GALLON SLIDE TOP LID,Active,5,,Part
R7421BL,BLUE THREAD DISP FOR AUTODROP,Discontinued,5,,Part
R7445,"Sliding Lid, 8 Gallon",Active,4,,Part
R7446,"Sliding Door, Clear, 8 Gallon",Active,2,,Part
R7449,8GAL CHEMO LID-SLIDETOP(X9895),Active,3,,Part
R7449BL,8GAL CHEMO SLIDE TOP CAP BLUE,Active,5,,Part
R7450,"Chemotherapy Hood, 8/12/18 Gallon",Active,3,,Part
R7451,8/12/18 GAL. CHEMO CAP,Active,2,,Part
R7455,5 QUART TAMPER PROOF LID,Discontinued,1,,Part
R7455MW,"5 QT.LID,TAMPER PROOF 3-1/2%MW",Discontinued,1,,Part
R7456,5 QUART SCOOP TAMPER PROOF,Discontinued,1,,Part
R7456MW,5 QT SCOOP TAMP PROOF 3-1/2%MW,Discontinued,1,,Part
R7457,5 QUART TAMPTER PROOF DOOR,Discontinued,1,,Part
R7457MW,5 QT TAMPER PRF DR 3-1/2% MW,Discontinued,1,,Part
R7459,"Sharps Container, Red, 1/2 Quart",Active,3,,Part
R7460,SHARPSTAR II SCOOP,Active,2,,Part
R7460BL,SHARPSTAR II SCOOP BLUE,Active,3,,Part
R7461,SHARPSTAR II LID,Active,1,,Part
R7461BL,"PharmaSafety, Lid, Blue",Active,3,,Part
R7462,"Door, Sharpstar II",Active,2,,Part
R7463,"Phlebotomy Container, 2.2 Quart",Active,7,,Part
R7464,2.2 QT LID FOR PHLEBOTOMY CONT,Active,0,,Part
R7472,HOLDER FOR 2.2 QT. CONTAINER,Active,0,,Part
R7478,PUNCT RESISTNT CHEMO CAP DISC,Active,1,,Part
R7479,"Sharps Container, Red, 18 Gallon",Active,8,,Part
R7479BK,"Sharps Container, Black, 18 Gallon",Active,5,,Part
R7479GRMW,"SHARPSafety Medical Waste Container, 18 Gallon",Active,2,,Part
R7479GW,"Sharps Container, Red, 18 Gallon, Greenwood",Active,3,,Part
R7479P,"Sharps Container, Red, 18 Gallon",Active,6,,Part
R7479PW,"Container, White, 18 Gallon, Unprinted, PG2",Active,4,,Part
R7479PY,"Sharps Container, Yellow, 18 Gallon",Active,5,,Part
R7479W,"Container, White, 18 Gallon, Unprinted",Active,5,,Part
R7479Y,"18 GAL. CONTAINER, YELLOW, Unprinted",Active,5,,Part
R7481,WHITE 8 GAL HINGED LID (X9820),Active,5,,Part
R7481BL,BLUE 8 GALLON HINGED LID,Active,5,,Part
R7483,HINGED ROTOR LID 12/18 GALLON,Active,0,,Part
R7500,SHARPSTAR III LID,Active,1,,Part
R7500MW,SHARPSTAR III LID MED WASTE,Active,0,,Part
R7501,SHARPSTAR III HOOD,Active,1,,Part
R7501MW,SHARPSTAR III HOOD MED WASTE,Active,0,,Part
R7502,SHARPSTAR III DOOR,Active,1,,Part
R7502MW,SHARPSTAR III DOOR MED WASTE,Active,0,,Part
R7503,Sharp Shuttle Tube,Discontinued,2,,Part
R7504,Sharp Shuttle Cap,Discontinued,2,,Part
R7505,2/3 GALLON LID,Active,0,,Part
R7506,"2 GAL. 5"" ROTOR",Discontinued,1,,Part
R7507,"Lid, Red, 1 Quart",Active,3,,Part
R7507Y,1 QT LID FOR 8303BY,Active,0,,Part
R7508,"Sharps Container, Red, 1 Quart",Active,4,,Part
R7508Y,"Sharps Container, Yellow, 1 Quart",Active,1,,Part
R7511*A,"Hinged Lid, White, 30 Gallon",Active,5,,Part
R7513,*1.5 QT RED SHARPS CONTAINER,Discontinued,1,,Part
R7515,12/18 GAL. HINGED CHEMO LID,Active,4,,Part
R7515BL,HINGED LID 12/18 GALLON BLUE,Active,7,,Part
R7515P,"HINGED CHEMO LID, 12 & 18 GAL",Active,5,,Part
R7524,"3 GALLON 5"" ROTOR",Active,4,,Part
R7525,CART BODY 12/18 GAL ROTOR MOLD,Discontinued,2,,Part
R7526,12/18 GAL.CART HOOD ROT. MOLD,Discontinued,1,,Part
R7532,PROGUARD II HUB #93338,Discontinued,1,,Part
R7536,"Sharps Container, Red, 30 Gallon",Active,4,,Part
R7542,LID COVER - CLEAR,Discontinued,1,,Part
R7543,PLASTIC SYRINGE TRANSFER CUP,Discontinued,0,,Part
R7544,TABLETOP HOLDER STAND,Discontinued,1,,Part
R7545,HIDDEN BRCKET KEY MLDED(X7004),Active,0,,Part
R7559,"Adhesive Backed Holder, Beige",Discontinued,1,,Part
R7561,"Handle, 7-1/2 Gallon",Discontinued,4,,Part
R7563,"Hinged Lid, 7-1/2 Gallon Container",Discontinued,3,,Part
R7564,"Sharps Container, Red, 7-1/2 Gallon",Discontinued,5,,Part
R7564Y,"Sharps Container, Yellow, 7-1/2 Gallon",Discontinued,2,,Part
R7567,"Hinged Lid, Tortuous Door",Active,1,,Part
R7568,Tortuous Door,Active,1,,Part
R7569,"Sharps Container, Red, 10 Gallon",Active,10,,Part
R7569Y,"Sharps Container, Yellow, 10 Gallon",Active,7,,Part
R7572,"Sharps Container, Red, 7 Gallon",Active,8,,Part
R7572Y,"Sharps Container, Yellow, 7 Gallon",Active,6,,Part
R7583,LID/DOOR PHLEBOTOMY  (#810080),Discontinued,1,,Part
R7584,1QT. RED PHLEB. CONT.,Discontinued,0,,Part
R7584Y,1QT. YELLOW PHLEB. CONT.,Discontinued,1,,Part
R7597BHC,3 GALLON CONT. TRANS BEIGE,Discontinued,1,,Part
R7597N,3 GALLON CONT. CLEAR,Discontinued,1,,Part
R7597RHC,"Container, Translucent Red, 3 Gallon",Active,4,,Part
R7597YHC,"Container, Translucent Yellow, 3 Gallon",Active,3,,Part
R7598BHC,2 GALLON CONT TRANS BEIGE,Discontinued,1,,Part
R7598N,2 GAL CONTAINER CLEAR,Discontinued,1,,Part
R7598RHC,"Container, Translucent Red, 2 Gallon",Active,4,,Part
R7598YHC,"Container, Translucent Yellow, 2 Gallon",Active,4,,Part
R7599,"Container, Red, 5 Quart",Discontinued,1,,Part
R7599BG,"Container, Beige, 5 Quart",Discontinued,3,,Part
R7599BHC,5 QT CONTAINER TRANS BEIGE,Discontinued,1,,Part
R7599N,"Container, Clear, 5 Quart",Active,2,,Part
R7599RHC,"Container, Translucent Red, 5 Quart",Active,4,,Part
R7599YHC,"Container, Translucent Yellow, 5 Quart",Active,4,,Part
R7604,"Sharps Container, Red, 2.5 Quart",Discontinued,1,,Part
R7604BG,2.5 QT CONTAINER BEIGE,Discontinued,1,,Part
R7604YHC,"Sharps Container, Translucent Yellow, 2.5 Quart",Discontinued,2,,Part
R7605,Tortuous Housing,Active,1,,Part
R7606,Tortuous Flap Door,Active,1,,Part
R7607BG,"Sharps Container, Beige, 5 Quart",Discontinued,3,,Part
R7607BHC,5 QT CONTAINER TRANS BEIGE,Discontinued,1,,Part
R7607N,"Sharps Container, Clear, 5 Quart",Active,3,,Part
R7607RHC,"Sharps Container, Translucent Red, 5 Quart",Active,4,,Part
R7607YHC,"Sharps Container, Translucent Yellow, 5 Quart",Active,4,,Part
R7611,19 GAL BIPCO LID,Active,0,,Part
R7613,RETAINING BLOCK,Discontinued,1,,Part
R7614,PUSH BUTTON FOR 8940FP,Discontinued,1,,Part
R7615,1 & 2 GAL SLIDE TOP LID,Discontinued,2,,Part
R7616,Sliding Door,Active,1,,Part
R7619,"Sharps Container, Red, 2 Gallon",Discontinued,2,,Part
R7619Y,2 GALLON SHARPS CONT YELLOW,Discontinued,1,,Part
R7619YHC,2 GALLON CONT TRANS YELLOW,Discontinued,1,,Part
R7620N,"Container, 3 Gallon, Clear",Discontinued,2,,Part
R7620RHC,3 GAL TRANS RED CONTAINER,Discontinued,1,,Part
R7620YHC,"Container, 3 Gallon, Transparent Yellow",Discontinued,3,,Part
R7621N,"Container, 4 Gallon, Clear",Active,1,,Part
R7621RHC,"Container, 4 Gallon, Transparent Red",Active,2,,Part
R7622,SS4 LID TOOL #1415,Active,1,,Part
R7623,SS4 DOOR - TOOL #1416,Active,1,,Part
R7624,SS4 COWL TOOL # 1417,Active,0,,Part
R7626,HOLDER FOR SSIV,Active,0,,Part
R7630,SHARPS-A-GATOR 19 Gallon Biohazard Waste Container,Active,3,,Part
R7633,"GatorGuard In-Patient Room Container, Door",Active,3,,Part
R7634,LID FOR GATORGUARD,Active,1,,Part
R7634BK,"RCRA Lid, Black",Active,1,,Part
R7635,HOOD FOR GATORGUARD LID,Active,1,,Part
R7635BK,"RCRA Hood, Black",Active,1,,Part
R7636BHC,"3.5 GAL T-P CONT, TRANS BEIGE",Discontinued,1,,Part
R7636RHC,"Tortuous Path, 3-1/2 Gallon Container, Translucent Red",Active,2,,Part
R7636YHC,"Tortuous Path, 3-1/2 Gallon Container, Translucent Yellow",Discontinued,2,,Part
R7637,3-1/2 GAL TORTUOUS PATH LID,Active,0,,Part
R7639,12/18 GAL. CART HOOD ROT. MOLD,Discontinued,1,,Part
R7641PP,12 mL Purple MAGELLAN Plunger,Active,0,,Part
R7642B,"Barrel, 12 mL",Active,1,,Part
R8249,WASHER - SMALL 8982/8990/8996,Active,0,,Part
R8509,"Square Container for 8920, Red",Active,3,,Part
R8516-1HB,85161H WL ENCL BULK SHIPPED 1,Active,0,,Part
R8526,"Large Container for 8950, Non-Sterile",Active,3,,Part
R8530,8800 FOAM BLOCK-EXPANDED PS,Discontinued,0,,Part
R8534,8974 TRAY/HOLDER FOR 2GAL CONT,Active,0,,Part
R8535,TRAY / HOLDER FOR 8515,Active,0,,Part
R8550,8529 TRAY/HOLDER FOR 8520/8525,Active,0,,Part
R8550LGB,8550LG - LRG. GLV BOX/BULK,Active,0,,Part
R8554B,8554 DBL-UP WALL BRKT BULK,Active,0,,Part
R8670,"1/4""- 20 x 1/2""  HHCS",Discontinued,1,,Part
R8671,"2-1/2"" DIA.SWVL CASTER W/BRAKE",Discontinued,1,,Part
R8672,"2-1/2"" DIAMETER SWIVEL CASTER",Discontinued,1,,Part
R8673,HOOD PLATE,Discontinued,1,,Part
R8674,PIVOT BLOCK,Discontinued,1,,Part
R8675,"10-32x1/2"" BUTTONHD SCKT CP",Discontinued,1,,Part
R8676,LID OPENING ARM,Discontinued,1,,Part
R8677,"HOOK, CART",Discontinued,1,,Part
R8678,90 DEGREE PULLEY,Discontinued,1,,Part
R8679,TEMP OPEN BLOCK,Discontinued,1,,Part
R8680,TEMP OPEN ROD,Discontinued,1,,Part
R8681,"4-40x1/2"" SCKT HD CAP SCREW",Discontinued,1,,Part
R8682,".281"" O.D. COMPRESSION SPRING",Discontinued,1,,Part
R8683,"3/32"" x 3/4""L SPRING PIN",Discontinued,1,,Part
R8684,".450"" I.D. TORSION SPRING",Discontinued,1,,Part
R8685,"#6-32x5/6"" PTHS FOR",Discontinued,1,,Part
R8686,CABLE ASSEMBLY,Discontinued,1,,Part
R8687,FULL OPEN CART FOOT PEDAL ASSY,Discontinued,1,,Part
R8689,1/4 TAPERED FERRULES BLACK/PVC,Discontinued,1,,Part
R8930LA,BIOMAX FOAM IN PLACE LID,Active,1,,Part
R8939,"FIP Gasketed Lid, Chemotherapy, 12 and 18 Gallon",Active,10,,Part
R8939BL,"FIP Gasketed Lid, PharmaSafety, 12/18 Gallon",Active,7,,Part
R8939P,"FIP Gasketed Lid, Slide To[p, 12 and 18 Gallon Container, PGII",Active,10,,Part
R8982,WHITE 2 GAL HNG LID W/ GASKET,Discontinued,1,,Part
R8985,"Foam In Place Gasketed Lid, Chemotherapy, 8 Gallon",Active,4,,Part
R8985BL,8 GA SLIDE TOP CHEMO LID FIP,Active,5,,Part
R9225B,INNER CARTON FOR 8502Y,Discontinued,1,,Part
R9242C,OVERSHIPPER FOR 8515,Discontinued,1,,Part
R9242D,Overshipper for 8515,Active,0,,Part
R9249C,OVERSHIPPER FOR 8529,Discontinued,1,,Part
R9249D,Overshipper for 8529,Active,0,,Part
R9331D,OVERSHIPPER FOR 8800 / 8801,Discontinued,0,,Part
R9366C,OVERSHIPPER FOR 8910,Discontinued,1,,Part
R9366D,Overshipper for 8910,Active,0,,Part
R9800,TWIST-TIES,Discontinued,1,,Part
R9801,ANTI SLIP TAPE FOR 8974,Active,0,,Part
R98027,FOAM IN PLACE GASKET MATERIAL,Active,0,,Part
R98028,"FOAM IN PLACE GASKET MATERIAL,",Active,0,,Part
R98034,HOT STAMP FOIL - GLOSS BLACK,Active,0,,Part
R98055,"1/4 SAE FLAT WASHER, ZINC",Discontinued,1,,Part
R9806,TRAY FOR 2 GAL IN-ROOM SERIES,Active,0,,Part
R98087,"8GAL CRT 1/4""USS FLT WSHRX9955",Active,0,,Part
R98094E,INST. SHEET FOR 8961,Discontinued,0,,Part
R98099D,INS SHT FOR SHP SHUTTLE 8301,Discontinued,1,,Part
R98103,ATTACHMENT HOLDER (X9964),Discontinued,1,,Part
R98106,"CABLE TIES - 7-1/2"" (X9967)",Discontinued,1,,Part
R98109,PIVOT LINKAGE (X9970),Discontinued,1,,Part
R98110,MAIN LINKAGE (X9971),Active,0,,Part
R98114,BASEPLATE (X9975),Discontinued,1,,Part
R98116,HOLDER MOUNT (X9977),Active,0,,Part
R98119E,INST.SHEET FOR 8800 RESHEATHER,Discontinued,0,,Part
R98173C,"Printed Insert, Instruction Sheet, Drywall Anchors, Reorder No. 8556H",Discontinued,2,,Part
R98176,FOAM TAPE FOR 8801,Discontinued,1,,Part
R98178,"FOAM TAPE - 2"" DIA.",Active,0,Compliant,Part
R98179,"FOAM TAPE 4"" X 4""",Active,0,Compliant,Part
R98180,"FOAM TAPE - 2 X 7-1/4""",Active,0,Compliant,Part
R98182,FOAM TAPE - 8800/8911,Discontinued,0,,Part
R98184,FOAM TAPE FOR 1523SA,Active,0,Compliant,Part
R98188,Drywall Fasteners,Active,2,,Part
R98189,SHEET METAL SCREW,Active,0,,Part
R98190,PLASTIC DRYWALL ANCHOR,Active,0,,Part
R98211C,INST SHT FOR 30GAL  (X98040C),Discontinued,1,,Part
R98226D,INSTRUCTION SHEET FOR 8964,Discontinued,1,,Part
R98234E,INST SHT FOR PHARMASAFETY,Discontinued,1,,Part
R98237,CABLE ASSEMBLY,Discontinued,1,,Part
R98238,HINGE STAINLESS STEEL,Discontinued,1,,Part
R98239,CONTAINER SUPPORT BRACKET-LEFT,Discontinued,1,,Part
R98240,CONTAINER SUPPORT BRACKET-RGHT,Discontinued,1,,Part
R98241,PEDAL SHAFT,Discontinued,1,,Part
R98242,HANDLE BASE WELDMENT,Discontinued,1,,Part
R98243,FOOT PEDAL LOCK,Discontinued,1,,Part
R98247,MAIN PULL SHAFT,Discontinued,1,,Part
R98249,GUIDE PLATE,Discontinued,1,,Part
R98250,"3/8"" NYLINER BEARING",Discontinued,1,,Part
R98252,"1/4"" ROPE PULLEY",Discontinued,1,,Part
R98254,EXTENSION SPRING,Discontinued,1,,Part
R98255,BUMPER O-RING,Discontinued,1,,Part
R98256,PULL PIN,Discontinued,1,,Part
R98257,PULL PIN SPACER,Discontinued,1,,Part
R98259,TEMP.OPEN LOCK,Discontinued,1,,Part
R98261,COMPRESSION SPRING,Discontinued,1,,Part
R98262,MOUNTING FORM,Discontinued,1,,Part
R98263,"3/32"" ROPE PULLEY",Discontinued,1,,Part
R98264,BRONZE BEARING,Discontinued,1,,Part
R98269,"3/16"" NYLINER BEARING",Discontinued,1,,Part
R9828B,PRODUCT ID INSERT-1511/1509,Discontinued,1,,Part
R98302,CASTER INSERT SOCKET - 8940FP,Discontinued,1,,Part
R98303,LOCK SET,Discontinued,1,,Part
R98304,WASHER FOR LOCK SET,Discontinued,1,,Part
R98305,COUNTER WEIGHT,Discontinued,1,,Part
R98306,PEDAL SLEEVE,Discontinued,1,,Part
R98307,SHIM-MOUNTING,Discontinued,1,,Part
R98313,ELASTIC STOP JAM NUT,Discontinued,1,,Part
R98314,"1/4""-20 X 3/8"" BUTTONHD CPSCRW",Discontinued,1,,Part
R98315,"1/4"" SPLIT LOCK WASHER",Discontinued,1,,Part
R98317,"1/4""-20 X 3/8"" HEXHD CP SCREW",Discontinued,1,,Part
R98318,"1/4""-20 X 3/4"" HEX HD CAP SCRW",Discontinued,1,,Part
R98320,"3/16""X3/8"" FLT.HD.RIVET",Discontinued,1,,Part
R98321,PEEL TYPE RIVET,Discontinued,1,,Part
R98322,"3/16"" X 1/4"" RIVET",Discontinued,1,,Part
R98323,#10 USS FLAT WASHER,Discontinued,1,,Part
R98324,"1/4"" FLAT WASHER",Discontinued,1,,Part
R98325,"5/16""x3/8""SHOULDER BOLT",Discontinued,1,,Part
R98326,"1/4""-20 ELASTIC STP NUT",Discontinued,1,,Part
R98327,"7/8"" BUTTON HEAD CAP SCREW",Discontinued,1,,Part
R98328,#10 ELASTIC STOP NUT,Discontinued,1,,Part
R98331D,INSTRUCTION SHEET FOR 8303SA,Discontinued,1,,Part
R98334H,"Printed Insert, SHARPSTAR In-Room Containers, Various Reorder Nos.",Discontinued,1,,Part
R98337E,"Printed Insert, Instruction Sheet, SHARPSTAR, 1 Qt. Sharps Container, Various Reorder Nos.",Discontinued,2,,Part
R98338C,INST.SHEET-AUTODRP BLD NDL SYS,Discontinued,1,,Part
R98340D,INST SHT FOR UNWINDERS 8512Y,Discontinued,1,,Part
R98346F,INST SHT INROOM SHARPS,Discontinued,1,,Part
R98347,INSTRUCTION SHEET  (CART),Discontinued,1,,Part
R98349,WIREFORM HANDLE,Discontinued,1,,Part
R98350,"HOT STAMP FOIL - RED 1-1/4""",Active,0,,Part
R98355B,INST.SHEET FOR 8781/8790/8791,Discontinued,1,,Part
R98359,BUBBLE PACK  (X98143),Discontinued,1,,Part
R98362C,"Printed Insert, Instruction Sheet, Generic, GATORGUARD Container, Various Reorder Nos.",Discontinued,1,,Part
R98365,INST SHT PSS PHLEB    (880439),Discontinued,0,,Part
R98366D,INST.SHT MNTING INRM (X98135C),Discontinued,0,,Part
R98367A,INSTR. SHEET FOR FISHER PHLEB,Discontinued,0,,Part
R98368,"FOAM CUBE - 2-1/8""",Discontinued,0,,Part
R98369,FOAM TAPE,Discontinued,0,,Part
R98379,"Foam Tape, Foam Backed Adhesive, 2-3/4 width x 3-3/4 length",Discontinued,1,,Part
R98395B,"Printed Insert, Instruction Sheet, Hinged Lid, Sharps Containers, Various Reorder Nos.",Discontinued,2,,Part
R98396C,"Printed Insert, Generic, SHARPS-A-GATOR Sharps Container, Various Reorder Nos.",Discontinued,2,,Part
R98397C,"Printed Insert, Generic, Devon Sharps Container, Various Reorder Nos.",Discontinued,2,,Part
R98399A,"Printed Insert, Generic, Sharps Container, Various Reorder Nos.",Active,1,,Part
R98400A,INST SHEET 7-1/2 GAL FISHER,Discontinued,1,,Part
R98405B,INST SHT FOR 3-1/2 GAL #884106,Active,0,,Part
R98406A,INST SHEET FOR 2-1/2 & 5 QT.,Discontinued,1,,Part
R98407B,INST SHEET FOR 2-1/2 & 5 QT,Discontinued,1,,Part
R98408C,INSTRUCTION SHEET 3.5 GAL,Discontinued,1,,Part
R98409,DIE CAST FRAME,Discontinued,1,,Part
R98411C,INST SHT ABSBNT PADS (X98411C),Discontinued,1,,Part
R98414C,"Printed Insert, Instruction Sheet, GATORGUARD Sharps Containers, Various Reorder Nos.",Discontinued,2,,Part
R98415D,"Printed Insert, SHARPS-A-GATOR Sharps Container, Reorder Nos. 31143731 and 31143699",Discontinued,2,,Part
R98416B,"Printed Insert, Generic, Waste Disposal Container, Various Reorder Nos.",Discontinued,1,,Part
R98419,"1/8"" STEEL PUSH RETAINER",Discontinued,1,,Part
R98431C,"INSTRUCTION SHEET, RCRA WASTE",Discontinued,1,,Part
R98433,INSTRUCTION SHEET (CART),Discontinued,1,,Part
R98438,"Printed Insert, Instruction Sheet, SHARPSTAR, 1 Quart, Sharps, Various Reorder Nos.",Discontinued,1,,Part
R98439,"Printed Insert, Instruction Sheet, Hinged Lid/Snap Cap, Sharps Containers, Various Reorder Nos.",Discontinued,1,,Part
R98442,"Printed Insert, Instruction Sheet, GATORGUARD Sharps Container, Various Reorder Nos.",Discontinued,2,,Part
R98447,PRINTED INS SHEET FOR 31143731,Discontinued,1,,Part
R98458,"Printed Insert, RCRA Waste, 5 Quart Disposal Containers, Various Reorder Nos.",Discontinued,2,,Part
R98461,"PRINTED INSERT, SHARPS-A-GATOR",Discontinued,1,,Part
R98463,"Printed Insert, 5 Quart Sharps Container with Flap Doors, Reorder No. MDS705153",Discontinued,1,,Part
R9869D,"Printed Insert, Instruction Sheet, INROOM Sharps Doors, Various Reorder Nos.",Discontinued,2,,Part
R9870H,"Printed Insert, Instruction Sheet, INROOM Sharps Lids, Various Reorder Nos.",Discontinued,2,,Part
R9875D,"Printed Insert, Instruction Sheet, Sharps Containers, Various Reorder Nos.",Discontinued,2,,Part
R9876F,"Printed Insert, Instruction Sheet, Rotor Lid, Sharps Containers, Various Reorder Nos.",Discontinued,2,,Part
R9881F,INST SHT 8935LID BIOHAZ SERIES,Discontinued,1,,Part
R9882J,"Printed Insert, Sharps and Chemotherapy Waste Disposal Containers, Various Product Codes",Discontinued,2,,Part
R9909,EPS BLOCK (X1369),Discontinued,1,,Part
R9918G,"Printed Insert, CHEMOSAFETY Waste Disposal Container, Various Product Codes",Discontinued,2,,Part
R9960F,"Printed Insert, Instruction Sheet, Hinged Lid/Snap Cap, Sharps Container",Discontinued,2,,Part
R9962C,"Printed Insert, Instruction Sheet, Sharps Rotor and AUTODROP Container, Reorder Nos. 1522AC and 1522SA",Discontinued,2,,Part
R9977,"5/16"" DIA. WELD STUD (X9963)",Active,0,,Part
R9980,"#8-32X7/8""STL ALLOY ZINC,SHCS",Active,0,,Part
R9981,#8-32 BLACK CAP NUT (X9979),Active,0,,Part
RM001,"RESIN,HIPS,ATOFINA #825",Active,0,,Part
